id,municipio,municipio_uf,latitude,longitude,uf
3666,AREIA BRANCA,AREIA BRANCA - RN,-4.95,-37.13,RN
4655,AREIA BRANCA,AREIA BRANCA - SE,-10.75,-37.31,SE
2551,AREIA DE BARAUNAS,AREIA DE BARAUNAS - PB,-7.12,-36.94,PB
2552,AREIAL,AREIAL - PB,-7.02,-35.9,PB
4766,AREIAS,AREIAS - SP,-22.58,-44.69,SP
4767,AREIOPOLIS,AREIOPOLIS - SP,-22.66,-48.66,SP
2280,ARENAPOLIS,ARENAPOLIS - MT,-14.45,-56.84,MT
904,ARENOPOLIS,ARENOPOLIS - GO,-16.38,-51.56,GO
3667,ARES,ARES - RN,-6.19,-35.16,RN
1385,ARGIRITA,ARGIRITA - MG,-21.61,-42.83,MG
1386,ARICANDUVA,ARICANDUVA - MG,-17.86,-42.55,MG
1387,ARINOS,ARINOS - MG,-15.91,-46.1,MG
2281,ARIPUANA,ARIPUANA - MT,-10.16,-59.45,MT
3826,ARIQUEMES,ARIQUEMES - RO,-9.91,-63.04,RO
4768,ARIRANHA,ARIRANHA - SP,-21.18,-48.78,SP
3188,ARIRANHA DO IVAI,ARIRANHA DO IVAI - PR,-24.38,-51.58,PR
3569,ARMACAO DE BUZIOS,ARMACAO DE BUZIOS - RJ,-22.74,-41.88,RJ
4377,ARMAZEM,ARMAZEM - SC,-28.26,-49.01,SC
634,ARNEIROZ,ARNEIROZ - CE,-6.32,-40.16,CE
2957,AROAZES,AROAZES - PI,-6.11,-41.79,PI
2553,AROEIRAS,AROEIRAS - PB,-7.54,-35.7,PB
2958,ARRAIAL,ARRAIAL - PI,-6.65,-42.53,PI
3570,ARRAIAL DO CABO,ARRAIAL DO CABO - RJ,-22.96,-42.02,RJ
5386,ARRAIAS,ARRAIAS - TO,-12.93,-46.93,TO
3907,ARROIO DO MEIO,ARROIO DO MEIO - RS,-29.4,-51.94,RS
3908,ARROIO DO SAL,ARROIO DO SAL - RS,-29.55,-49.88,RS
3909,ARROIO DO TIGRE,ARROIO DO TIGRE - RS,-29.33,-53.09,RS
3910,ARROIO DOS RATOS,ARROIO DOS RATOS - RS,-30.07,-51.72,RS
3911,ARROIO GRANDE,ARROIO GRANDE - RS,-32.23,-53.08,RS
4378,ARROIO TRINTA,ARROIO TRINTA - SC,-26.93,-51.33,SC
4769,ARTUR NOGUEIRA,ARTUR NOGUEIRA - SP,-22.57,-47.17,SP
905,ARUANA,ARUANA - GO,-14.92,-51.08,GO
4770,ARUJA,ARUJA - SP,-23.39,-46.32,SP
4379,ARVOREDO,ARVOREDO - SC,-27.07,-52.45,SC
3912,ARVOREZINHA,ARVOREZINHA - RS,-28.87,-52.17,RS
4380,ASCURRA,ASCURRA - SC,-26.95,-49.37,SC
4771,ASPASIA,ASPASIA - SP,-20.15,-50.72,SP
3189,ASSAI,ASSAI - PR,-23.37,-50.84,PR
635,ASSARE,ASSARE - CE,-6.87,-39.87,CE
4772,ASSIS,ASSIS - SP,-22.66,-50.41,SP
2,ASSIS BRASIL,ASSIS BRASIL - AC,-10.94,-69.56,AC
3190,ASSIS CHATEAUBRIAND,ASSIS CHATEAUBRIAND - PR,-24.42,-53.52,PR
2554,ASSUNCAO,ASSUNCAO - PB,-7.07,-36.73,PB
2959,ASSUNCAO DO PIAUI,ASSUNCAO DO PIAUI - PI,-5.86,-41.03,PI
1388,ASTOLFO DUTRA,ASTOLFO DUTRA - MG,-21.31,-42.86,MG
3191,ASTORGA,ASTORGA - PR,-23.23,-51.66,PR
26,ATALAIA,ATALAIA - AL,-9.5,-36.02,AL
3192,ATALAIA,ATALAIA - PR,-23.15,-52.05,PR
129,ATALAIA DO NORTE,ATALAIA DO NORTE - AM,-4.37,-70.19,AM
4381,ATALANTA,ATALANTA - SC,-27.42,-49.78,SC
1389,ATALEIA,ATALEIA - MG,-18.04,-41.11,MG
4773,ATIBAIA,ATIBAIA - SP,-23.11,-46.55,SP
811,ATILIO VIVACQUA,ATILIO VIVACQUA - ES,-20.91,-41.19,ES
5387,AUGUSTINOPOLIS,AUGUSTINOPOLIS - TO,-5.46,-47.88,TO
2405,AUGUSTO CORREA,AUGUSTO CORREA - PA,-1.02,-46.64,PA
1390,AUGUSTO DE LIMA,AUGUSTO DE LIMA - MG,-18.1,-44.26,MG
3913,AUGUSTO PESTANA,AUGUSTO PESTANA - RS,-28.51,-53.99,RS
3668,AUGUSTO SEVERO,AUGUSTO SEVERO - RN,-5.86,-37.31,RN
3914,AUREA,AUREA - RS,-27.69,-52.04,RS
230,AURELINO LEAL,AURELINO LEAL - BA,-14.31,-39.32,BA
4774,AURIFLAMA,AURIFLAMA - SP,-20.68,-50.55,SP
906,AURILANDIA,AURILANDIA - GO,-16.68,-50.46,GO
636,AURORA,AURORA - CE,-6.94,-38.96,CE
4382,AURORA,AURORA - SC,-27.31,-49.63,SC
2406,AURORA DO PARA,AURORA DO PARA - PA,-2.13,-47.56,PA
